Date,GN,SP 500
3/28/2023,"140,7","3971,27"
3/27/2023,"143,4","3977,53"
3/24/2023,"146,7","3970,99"
3/23/2023,"145,2","3948,72"
3/22/2023,"143,6","3936,97"
3/21/2023,"143,2","4002,87"
3/20/2023,"143,6","3951,57"
3/17/2023,"147,75","3916,64"
3/16/2023,"142,8","3960,28"
3/15/2023,"146,35","3891,93"
3/14/2023,"144,5","3919,29"
3/13/2023,"147,55","3855,76"
3/10/2023,"152,35","3861,59"
3/9/2023,"157,55","3918,32"
3/8/2023,"154,7","3992,01"
3/7/2023,"156,7","3986,37"
3/6/2023,"157,75","4048,42"
3/3/2023,"157,45","4045,64"
3/2/2023,"148,7","3981,35"
3/1/2023,"145,55","3951,39"
2/28/2023,"152,4","3970,15"
2/27/2023,"151,4","3982,24"
2/24/2023,"152,15","3970,04"
2/23/2023,"154,7","4012,32"
2/22/2023,"155,4","3991,05"
2/21/2023,"161,8","3997,34"
2/20/2023,"165,6","4079,09"
2/17/2023,"165,5","4090,41"
2/16/2023,"167,45","4147,6"
2/15/2023,"163,95","4136,13"
2/14/2023,"161,45","4137,29"
2/13/2023,"160,65","4090,46"
2/10/2023,"167,65","4081,5"
2/9/2023,170,"4117,86"
2/8/2023,195,4164
2/7/2023,"190,35","4111,08"
2/6/2023,"184,8","4136,48"
2/3/2023,"189,75","4179,76"
2/2/2023,"186,85","4119,21"
2/1/2023,176,"4076,6"
1/31/2023,"167,8","4017,77"
1/30/2023,"175,35","4070,56"
1/27/2023,177,"4060,43"
1/26/2023,"183,55","4016,22"
1/25/2023,"166,1","4016,95"
1/24/2023,"172,5","4019,81"
1/23/2023,"170,55","3972,61"
1/20/2023,"170,55","3898,85"
1/19/2023,"173,15","3928,86"
1/18/2023,"179,3","3990,97"
1/17/2023,179,"3999,09"
1/16/2023,"178,15","3983,17"
1/13/2023,"171,85","3969,61"
1/12/2023,"168,2","3919,25"
1/11/2023,"179,25","3892,09"
1/10/2023,"171,4","3895,08"
1/9/2023,"176,45","3808,1"
1/6/2023,"170,9","3852,97"
1/5/2023,"171,5","3824,14"
1/4/2023,"171,05","3839,5"
1/3/2023,"170,7","3849,28"
1/2/2023,171,"3783,22"
12/30/2022,"159,75","3829,25"
12/29/2022,"160,35","3844,82"
12/28/2022,"154,4","3822,39"
12/27/2022,"151,75","3878,44"
12/23/2022,"152,65","3821,62"
12/22/2022,148,"3817,66"
12/21/2022,"147,75","3852,36"
12/20/2022,"147,2","3895,75"
12/19/2022,"150,15","3995,32"
12/16/2022,"148,5","4019,65"
12/15/2022,"160,7","3990,56"
12/14/2022,166,"3934,38"
12/13/2022,"168,3","3963,51"
12/12/2022,"161,3","3933,92"
12/9/2022,"162,15","3941,26"
12/8/2022,"160,95","3998,84"
12/7/2022,"162,05","4071,7"
