Date,GN,SP 500,MSCI World
3/28/2023,"140,7","3971,27","2,704.76"
3/27/2023,"143,4","3977,53","2,702.42"
3/24/2023,"146,7","3970,99","2,692.55"
3/23/2023,"145,2","3948,72","2,696.85"
3/22/2023,"143,6","3936,97","2,686.13"
3/21/2023,"143,2","4002,87","2,711.84"
3/20/2023,"143,6","3951,57","2,678.29"
3/17/2023,"147,75","3916,64","2,656.19"
3/16/2023,"142,8","3960,28","2,677.99"
3/15/2023,"146,35","3891,93","2,638.46"
3/14/2023,"144,5","3919,29","2,674.36"
3/13/2023,"147,55","3855,76","2,643.64"
3/10/2023,"152,35","3861,59","2,657.41"
3/9/2023,"157,55","3918,32","2,691.17"
3/8/2023,"154,7","3992,01","2,725.23"
3/7/2023,"156,7","3986,37","2,724.80"
3/6/2023,"157,75","4048,42","2,764.64"
3/3/2023,"157,45","4045,64","2,757.97"
3/2/2023,"148,7","3981,35","2,719.68"
3/1/2023,"145,55","3951,39","2,706.79"
2/28/2023,"152,4","3970,15","2,714.57"
2/27/2023,"151,4","3982,24","2,721.63"
2/24/2023,"152,15","3970,04","2,706.91"
2/23/2023,"154,7","4012,32","2,737.41"
2/22/2023,"155,4","3991,05","2,730.88"
2/21/2023,"161,8","3997,34","2,740.38"
2/20/2023,"165,6","4079,09","2,783.26"
2/17/2023,"165,5","4090,41","2,779.88"
2/16/2023,"167,45","4147,6","2,790.63"
2/15/2023,"163,95","4136,13","2,815.45"
2/14/2023,"161,45","4137,29","2,812.53"
2/13/2023,"160,65","4090,46","2,810.04"
2/10/2023,"167,65","4081,5","2,783.91"
2/9/2023,170,"4117,86","2,790.53"
2/8/2023,195,4164,"2,801.96"
2/7/2023,"190,35","4111,08","2,820.49"
2/6/2023,"184,8","4136,48","2,793.59"
2/3/2023,"189,75","4179,76","2,820.73"
2/2/2023,"186,85","4119,21","2,847.82"
2/1/2023,176,"4076,6","2,809.94"
1/31/2023,"167,8","4017,77","2,785.00"
1/30/2023,"175,35","4070,56","2,759.32"
1/27/2023,177,"4060,43","2,785.84"
1/26/2023,"183,55","4016,22","2,777.62"
1/25/2023,"166,1","4016,95","2,756.73"
1/24/2023,"172,5","4019,81","2,755.96"
1/23/2023,"170,55","3972,61","2,754.96"
1/20/2023,"170,55","3898,85","2,725.40"
1/19/2023,"173,15","3928,86","2,685.32"
1/18/2023,"179,3","3990,97","2,713.54"
1/17/2023,179,"3999,09","2,736.45"
1/16/2023,"178,15","3983,17","2,735.88"
1/13/2023,"171,85","3969,61","2,735.72"
1/12/2023,"168,2","3919,25","2,720.09"
1/11/2023,"179,25","3892,09","2,700.75"
1/10/2023,"171,4","3895,08","2,671.20"
1/9/2023,"176,45","3808,1","2,663.17"
1/6/2023,"170,9","3852,97","2,649.76"
1/5/2023,"171,5","3824,14","2,594.69"
1/4/2023,"171,05","3839,5","2,624.35"
1/3/2023,"170,7","3849,28","2,600.91"
1/2/2023,171,"3783,22","2,607.25"
12/30/2022,"159,75","3829,25","2,602.69"
12/29/2022,"160,35","3844,82","2,611.98"
12/28/2022,"154,4","3822,39","2,575.16"
12/27/2022,"151,75","3878,44","2,600.94"
12/23/2022,"152,65","3821,62","2,605.48"
12/22/2022,148,"3817,66","2,605.19"
12/21/2022,"147,75","3852,36","2,595.25"
12/20/2022,"147,2","3895,75","2,626.92"
12/19/2022,"150,15","3995,32","2,592.86"
12/16/2022,"148,5","4019,65","2,585.89"
12/15/2022,"160,7","3990,56","2,606.01"
12/14/2022,166,"3934,38","2,636.91"
12/13/2022,"168,3","3963,51","2,705.31"
12/12/2022,"161,3","3933,92","2,715.49"
12/9/2022,"162,15","3941,26","2,683.56"
12/8/2022,"160,95","3998,84","2,662.86"
12/7/2022,"162,05","4071,7","2,670.27"
12/6/2022,168,"4076,57","2,654.34"
12/5/2022,"177,1","4080,11","2,662.07"
12/2/2022,"180,55","3957,63","2,696.30"
12/1/2022,"177,4","3963,94","2,733.03"
11/30/2022,"168,9","4026,12","2,741.08"
11/29/2022,"168,3","4027,26","2,720.89"
11/28/2022,"170,7","4003,58","2,663.25"
11/25/2022,"172,15","3949,94","2,668.44"
11/24/2022,"172,25","3965,34","2,703.67"
11/23/2022,"167,4","3946,56","2,706.01"
11/22/2022,"164,1","3958,79","2,697.39"
11/21/2022,165,"3991,73","2,675.46"
11/18/2022,"173,3","3957,25","2,640.44"
11/17/2022,"171,65","3992,93","2,658.90"
11/16/2022,"171,6","3956,37","2,642.34"
11/15/2022,"179,05","3748,57","2,657.58"
11/14/2022,"189,1","3828,11","2,678.23"
11/11/2022,"183,5","3806,8","2,653.94"
11/10/2022,"179,3","3770,55","2,674.08"
11/9/2022,"173,2","3719,89","2,636.55"
11/8/2022,"174,5","3759,69","2,509.77"
11/7/2022,172,"3856,1","2,554.87"
11/4/2022,"169,7","3871,98","2,533.63"
11/3/2022,"158,4","3901,06","2,507.22"
11/2/2022,"160,7","3807,3","2,467.89"
11/1/2022,"172,45","3830,6","2,499.78"
10/31/2022,"160,2","3859,11","2,546.40"
10/28/2022,"165,25","3797,34","2,547.72"
10/27/2022,"161,55","3752,75","2,561.04"
10/26/2022,"165,15","3665,78","2,523.59"
10/25/2022,"158,65","3695,16","2,535.67"
10/24/2022,"155,2","3719,98","2,537.54"
10/21/2022,"151,8","3677,95","2,493.06"
10/20/2022,"151,25","3583,07","2,462.42"
10/19/2022,"149,8","3669,91","2,429.26"
10/18/2022,"155,3","3577,03","2,439.30"
10/17/2022,"146,5","3588,84","2,457.86"
10/14/2022,"144,75","3612,39","2,431.84"
10/13/2022,"134,6","3639,66","2,376.64"
10/12/2022,"127,2","3744,52","2,411.69"
10/11/2022,"123,65","3783,28","2,367.69"
10/10/2022,"124,4","3790,93","2,376.29"
10/7/2022,"122,4","3678,43","2,395.61"
10/6/2022,123,"3585,62","2,417.72"
10/5/2022,"124,55","3640,47","2,478.42"
10/4/2022,"136,8","3719,04","2,500.08"
10/3/2022,"130,45","3647,29","2,511.72"
9/30/2022,"134,1","3655,04","2,429.91"
9/29/2022,"134,4","3693,23","2,378.65"
9/28/2022,"145,55","3757,99","2,401.32"
9/27/2022,"151,3","3789,93","2,438.78"
9/26/2022,"155,8","3855,93","2,403.88"
9/23/2022,"153,75","3899,89","2,408.44"
9/22/2022,"158,2","3873,33","2,438.50"
9/21/2022,"170,25","3901,35","2,489.36"
9/20/2022,"177,05","3946,01","2,516.59"
9/19/2022,"184,95","3932,69","2,554.02"
9/16/2022,"190,3","4110,41","2,580.55"
9/15/2022,"205,3","4067,36","2,569.29"
9/14/2022,"207,5","4006,18","2,592.00"
9/13/2022,"209,3","3979,87","2,617.84"
9/12/2022,"221,9","3908,19","2,619.50"
9/9/2022,"220,5","3924,26","2,719.01"
9/8/2022,"213,4","3966,85","2,682.90"
9/7/2022,"210,5",3955,"2,636.17"
9/6/2022,"210,2","3986,16","2,614.10"
9/5/2022,"205,9","4030,61","2,584.97"
9/2/2022,"211,9","4057,66","2,596.70"
9/1/2022,"200,5","4199,12","2,605.21"
8/31/2022,"210,3","4140,77","2,610.25"
8/30/2022,213,"4128,73","2,627.32"
8/29/2022,209,"4137,99","2,645.37"
8/26/2022,"215,4","4228,48","2,668.79"
8/25/2022,226,"4283,74","2,694.62"
8/24/2022,"226,6","4274,04","2,768.48"
8/23/2022,231,"4305,2","2,736.01"
8/22/2022,"233,5","4297,14","2,730.35"
8/19/2022,"246,7","4280,15","2,736.10"
8/18/2022,"245,1","4207,27","2,787.71"
8/17/2022,"235,4","4210,24","2,826.41"
8/16/2022,"236,9","4122,47","2,822.87"
8/15/2022,"254,9","4140,06","2,844.42"
8/12/2022,"253,8","4145,19","2,842.48"
8/11/2022,"247,8","4151,94","2,834.51"
8/10/2022,"241,6","4155,17","2,802.23"
8/9/2022,"239,5","4091,19","2,803.37"
8/8/2022,"260,3","4118,63","2,743.62"
8/5/2022,"259,2","4130,29","2,758.72"
8/4/2022,266,"4072,43","2,752.06"
8/3/2022,256,"4023,61","2,761.65"
8/2/2022,"248,5","3921,05","2,755.25"
8/1/2022,"255,1","3966,84","2,728.30"
7/29/2022,"252,5","3961,63","2,749.26"
7/28/2022,"247,2","3998,95","2,746.36"
7/27/2022,236,"3959,9","2,709.82"
7/26/2022,"234,3","3936,69","2,675.08"
7/25/2022,"240,4","3830,85","2,624.49"
