Date,Last Price,Volume,SMAVG (15),Last Price Demant,Volume Demant,SMAVG (15) Demant,Last Price Sonova,Volume Sonova,SMAVG (15) Sonova,Last Price SP,Volume SP,SMAVG (15) SP
3/29/2023,"149,05",402886,1292103,"236,2",110887,369623,"258,9",35896,176548,,,
3/28/2023,"140,7",558528,1313318,233,307828,386209,"254,5",122419,182456,"3971,27",510109088,899390464
3/27/2023,"143,4",602586,1322825,"226,4",162380,391251,"253,5",172631,185889,"3977,53",640358336,906816064
3/24/2023,"146,7",661681,1326921,225,289214,399454,"249,3",171924,184404,"3970,99",686692160,904974848
3/23/2023,"145,2",465773,1355432,"224,9",252560,405066,"257,4",217287,183294,"3948,72",761870848,900406464
3/22/2023,"143,6",400940,1400869,"223,8",171601,422134,"249,7",115128,175620,"3936,97",692852992,890306624
3/21/2023,"143,2",659887,1460122,"223,3",298686,428207,245,104121,177021,"4002,87",815755008,884515776
3/20/2023,"143,6",978555,1482611,"223,5",302035,451323,"243,3",163665,196751,"3951,57",809318144,895207232
3/17/2023,"147,75",4157568,1464484,221,406761,448036,"246,6",412534,197993,"3916,64",2635067648,878120896
3/16/2023,"142,8",1281668,1231243,223,290103,433751,"245,2",175410,181791,"3960,28",933059328,742690240
3/15/2023,"146,35",5101114,1189691,"218,6",532142,432370,"236,9",223515,178309,"3891,93",999772352,721794560
3/14/2023,"144,5",1000863,915454,"231,4",634409,415045,"244,7",169252,171003,"3919,29",935067968,696368000
3/13/2023,"147,55",1415152,896878,"217,7",696202,395146,"240,1",219635,169219,"3855,76",1009987840,679484800
3/10/2023,"152,35",883965,842653,"211,3",541511,362426,"240,7",189127,160945,"3861,59",833959872,656995008
3/9/2023,"157,55",810393,834506,"218,6",548025,346110,"245,9",155675,162557,"3918,32",687977280,641728256
3/8/2023,"154,7",721097,840623,"212,2",359680,331385,"240,3",124513,165273,"3992,01",539008256,633235776
3/7/2023,"156,7",701130,833309,"215,4",383460,339883,240,173925,164179,"3986,37",621492608,637066944
3/6/2023,"157,75",664027,878942,"216,2",285414,334616,"246,4",150353,166374,"4048,42",612740224,635715648
3/3/2023,"157,45",1089353,968256,"216,2",373408,341253,"243,5",155277,170537,"4045,64",618166144,635881728
3/2/2023,"148,7",1147325,1045094,"209,4",508571,335306,"234,2",102166,175387,"3981,35",610373888,640653952
3/1/2023,"145,55",1289726,1360389,210,262695,344358,"231,4",136146,189077,"3951,39",605989824,643364608
2/28/2023,"152,4",997233,1354600,"210,9",645434,372293,"231,2",400073,191411,"3970,15",976126656,648022976
2/27/2023,"151,4",706647,1351225,"216,9",252722,392914,"235,3",182298,182194,"3982,24",553023488,622283008
2/24/2023,"152,15",658946,1337141,"209,1",192482,399150,"237,5",169502,181004,"3970,04",603607872,634449216
2/23/2023,"154,7",658400,1345755,"213,4",269392,420487,239,123179,183321,"4012,32",619624384,650555968
2/22/2023,"155,4",987554,1376083,"206,9",272269,429679,"236,1",113928,196074,"3991,05",618373632,661990016
2/21/2023,"161,8",722227,1413931,"210,7",335922,437175,"237,9",142491,202031,"3997,34",681820096,684057216
2/20/2023,"165,6",601779,1430869,"213,6",205403,434173,"238,3",95517,209721,"4079,09",672640512,678060608
2/17/2023,"165,5",761759,1433647,"217,6",296767,436482,"237,9",213308,215036,"4090,41",604958848,675038016
2/16/2023,"167,45",902142,1434906,"222,9",327161,440220,241,196413,213091,"4147,6",560590336,675334144
2/15/2023,"163,95",611392,1510157,"219,6",487150,446691,"232,7",108110,216693,"4136,13",596475392,678794496
2/14/2023,"161,45",1385626,1519438,"214,8",304455,440941,"229,3",206852,225361,"4137,29",601223872,671426816
2/13/2023,"160,65",2003734,1465288,"214,9",384966,442248,"224,8",212788,222600,"4090,46",615231168,672409600
2/10/2023,"167,65",2241922,1377482,"212,3",284197,437221,228,228041,216905,"4081,5",689749120,686822912
2/9/2023,170,5876748,1261931,"218,3",644362,434376,"233,1",307515,211659,"4117,86",651034176,684912768
2/8/2023,195,1202885,907652,"226,8",681712,415257,"241,6",171153,205846,4164,675865280,686437952
2/7/2023,"190,35",946612,865332,224,954751,385958,"243,8",261809,202983,"4111,08",590026688,686596992
2/6/2023,"184,8",495383,848291,"216,2",346266,342706,"243,1",164460,196774,"4136,48",735516480,685525056
2/3/2023,"189,75",788163,867797,"218,8",512538,335766,247,204256,195906,"4179,76",845209728,678652352
2/2/2023,"186,85",1113320,872541,"211,8",407261,327445,"246,2",314471,191873,"4119,21",791134656,665024384
2/1/2023,176,1555270,992304,"198,1",384711,334900,"233,4",203278,185138,"4076,6",949382016,649052352
1/31/2023,"167,8",976303,955081,"192,85",290900,328359,"227,9",257842,185316,"4017,77",591870720,630322112
