Date,Last Price - GN,,Date,Last Price - Demant,,Date,Last Price - S&P,,Date,Last Price - Sonova,,Dato,GN,Demant,S&P,Sonova
3/28/2023,"140,7",,3/28/2023,233,,3/28/2023,"3971,27",,3/28/2023,"254,5",,3/28/2023,"140,7",233,"3971,27","254,5"
3/27/2023,"143,4",,3/27/2023,"226,4",,3/27/2023,"3977,53",,3/27/2023,"253,5",,3/27/2023,"143,4","226,4","3977,53","253,5"
3/24/2023,"146,7",,3/24/2023,225,,3/24/2023,"3970,99",,3/24/2023,"249,3",,3/24/2023,"146,7",225,"3970,99","249,3"
3/23/2023,"145,2",,3/23/2023,"224,9",,3/23/2023,"3948,72",,3/23/2023,"257,4",,3/23/2023,"145,2","224,9","3948,72","257,4"
3/22/2023,"143,6",,3/22/2023,"223,8",,3/22/2023,"3936,97",,3/22/2023,"249,7",,3/22/2023,"143,6","223,8","3936,97","249,7"
3/21/2023,"143,2",,3/21/2023,"223,3",,3/21/2023,"4002,87",,3/21/2023,245,,3/21/2023,"143,2","223,3","4002,87",245
3/20/2023,"143,6",,3/20/2023,"223,5",,3/20/2023,"3951,57",,3/20/2023,"243,3",,3/20/2023,"143,6","223,5","3951,57","243,3"
3/17/2023,"147,75",,3/17/2023,221,,3/17/2023,"3916,64",,3/17/2023,"246,6",,3/17/2023,"147,75",221,"3916,64","246,6"
3/16/2023,"142,8",,3/16/2023,223,,3/16/2023,"3960,28",,3/16/2023,"245,2",,3/16/2023,"142,8",223,"3960,28","245,2"
3/15/2023,"146,35",,3/15/2023,"218,6",,3/15/2023,"3891,93",,3/15/2023,"236,9",,3/15/2023,"146,35","218,6","3891,93","236,9"
3/14/2023,"144,5",,3/14/2023,"231,4",,3/14/2023,"3919,29",,3/14/2023,"244,7",,3/14/2023,"144,5","231,4","3919,29","244,7"
3/13/2023,"147,55",,3/13/2023,"217,7",,3/13/2023,"3855,76",,3/13/2023,"240,1",,3/13/2023,"147,55","217,7","3855,76","240,1"
3/10/2023,"152,35",,3/10/2023,"211,3",,3/10/2023,"3861,59",,3/10/2023,"240,7",,3/10/2023,"152,35","211,3","3861,59","240,7"
3/9/2023,"157,55",,3/9/2023,"218,6",,3/9/2023,"3918,32",,3/9/2023,"245,9",,3/9/2023,"157,55","218,6","3918,32","245,9"
3/8/2023,"154,7",,3/8/2023,"212,2",,3/8/2023,"3992,01",,3/8/2023,"240,3",,3/8/2023,"154,7","212,2","3992,01","240,3"
3/7/2023,"156,7",,3/7/2023,"215,4",,3/7/2023,"3986,37",,3/7/2023,240,,3/7/2023,"156,7","215,4","3986,37",240
3/6/2023,"157,75",,3/6/2023,"216,2",,3/6/2023,"4048,42",,3/6/2023,"246,4",,3/6/2023,"157,75","216,2","4048,42","246,4"
3/3/2023,"157,45",,3/3/2023,"216,2",,3/3/2023,"4045,64",,3/3/2023,"243,5",,3/3/2023,"157,45","216,2","4045,64","243,5"
3/2/2023,"148,7",,3/2/2023,"209,4",,3/2/2023,"3981,35",,3/2/2023,"234,2",,3/2/2023,"148,7","209,4","3981,35","234,2"
3/1/2023,"145,55",,3/1/2023,210,,3/1/2023,"3951,39",,3/1/2023,"231,4",,3/1/2023,"145,55",210,"3951,39","231,4"
2/28/2023,"152,4",,2/28/2023,"210,9",,2/28/2023,"3970,15",,2/28/2023,"231,2",,2/28/2023,"152,4","210,9","3970,15","231,2"
2/27/2023,"151,4",,2/27/2023,"216,9",,2/27/2023,"3982,24",,2/27/2023,"235,3",,2/27/2023,"151,4","216,9","3982,24","235,3"
2/24/2023,"152,15",,2/24/2023,"209,1",,2/24/2023,"3970,04",,2/24/2023,"237,5",,2/24/2023,"152,15","209,1","3970,04","237,5"
2/23/2023,"154,7",,2/23/2023,"213,4",,2/23/2023,"4012,32",,2/23/2023,239,,2/23/2023,"154,7","213,4","4012,32",239
2/22/2023,"155,4",,2/22/2023,"206,9",,2/22/2023,"3991,05",,2/22/2023,"236,1",,2/22/2023,"155,4","206,9","3991,05","236,1"
2/21/2023,"161,8",,2/21/2023,"210,7",,2/21/2023,"3997,34",,2/21/2023,"237,9",,2/21/2023,"161,8","210,7","3997,34","237,9"
2/20/2023,"165,6",,2/20/2023,"213,6",,2/17/2023,"4079,09",,2/20/2023,"238,3",,2/20/2023,"165,6","213,6","4079,09","238,3"
2/17/2023,"165,5",,2/17/2023,"217,6",,2/16/2023,"4090,41",,2/17/2023,"237,9",,2/17/2023,"165,5","217,6","4079,09","237,9"
2/16/2023,"167,45",,2/16/2023,"222,9",,2/15/2023,"4147,6",,2/16/2023,241,,2/16/2023,"167,45","222,9","4090,41",241
2/15/2023,"163,95",,2/15/2023,"219,6",,2/14/2023,"4136,13",,2/15/2023,"232,7",,2/15/2023,"163,95","219,6","4147,6","232,7"
2/14/2023,"161,45",,2/14/2023,"214,8",,2/13/2023,"4137,29",,2/14/2023,"229,3",,2/14/2023,"161,45","214,8","4136,13","229,3"
2/13/2023,"160,65",,2/13/2023,"214,9",,2/10/2023,"4090,46",,2/13/2023,"224,8",,2/13/2023,"160,65","214,9","4137,29","224,8"
2/10/2023,"167,65",,2/10/2023,"212,3",,2/9/2023,"4081,5",,2/10/2023,228,,2/10/2023,"167,65","212,3","4090,46",228
2/9/2023,170,,2/9/2023,"218,3",,2/8/2023,"4117,86",,2/9/2023,"233,1",,2/9/2023,170,"218,3","4081,5","233,1"
2/8/2023,195,,2/8/2023,"226,8",,2/7/2023,4164,,2/8/2023,"241,6",,2/8/2023,195,"226,8","4117,86","241,6"
2/7/2023,"190,35",,2/7/2023,224,,2/6/2023,"4111,08",,2/7/2023,"243,8",,2/7/2023,"190,35",224,4164,"243,8"
2/6/2023,"184,8",,2/6/2023,"216,2",,2/3/2023,"4136,48",,2/6/2023,"243,1",,2/6/2023,"184,8","216,2","4111,08","243,1"
2/3/2023,"189,75",,2/3/2023,"218,8",,2/2/2023,"4179,76",,2/3/2023,247,,2/3/2023,"189,75","218,8","4136,48",247
2/2/2023,"186,85",,2/2/2023,"211,8",,2/1/2023,"4119,21",,2/2/2023,"246,2",,2/2/2023,"186,85","211,8","4179,76","246,2"
2/1/2023,176,,2/1/2023,"198,1",,1/31/2023,"4076,6",,2/1/2023,"233,4",,2/1/2023,176,"198,1","4119,21","233,4"
1/31/2023,"167,8",,1/31/2023,"192,85",,1/30/2023,"4017,77",,1/31/2023,"227,9",,1/31/2023,"167,8","192,85","4076,6","227,9"
1/30/2023,"175,35",,1/30/2023,"193,4",,1/27/2023,"4070,56",,1/30/2023,"236,9",,1/30/2023,"175,35","193,4","4017,77","236,9"
1/27/2023,177,,1/27/2023,"192,95",,1/26/2023,"4060,43",,1/27/2023,235,,1/27/2023,177,"192,95","4070,56",235
1/26/2023,"183,55",,1/26/2023,"197,6",,1/25/2023,"4016,22",,1/26/2023,"231,1",,1/26/2023,"183,55","197,6","4060,43","231,1"
1/25/2023,"166,1",,1/25/2023,190,,1/24/2023,"4016,95",,1/25/2023,"227,2",,1/25/2023,"166,1",190,"4016,22","227,2"
1/24/2023,"172,5",,1/24/2023,197,,1/23/2023,"4019,81",,1/24/2023,234,,1/24/2023,"172,5",197,"4016,95",234
1/23/2023,"170,55",,1/23/2023,"197,85",,1/20/2023,"3972,61",,1/23/2023,231,,1/23/2023,"170,55","197,85","4019,81",231
1/20/2023,"170,55",,1/20/2023,"194,5",,1/19/2023,"3898,85",,1/20/2023,"227,6",,1/20/2023,"170,55","194,5","3972,61","227,6"
1/19/2023,"173,15",,1/19/2023,196,,1/18/2023,"3928,86",,1/19/2023,"232,3",,1/19/2023,"173,15",196,"3898,85","232,3"
1/18/2023,"179,3",,1/18/2023,"204,2",,1/17/2023,"3990,97",,1/18/2023,"234,7",,1/18/2023,"179,3","204,2","3928,86","234,7"
1/17/2023,179,,1/17/2023,"201,6",,1/13/2023,"3999,09",,1/17/2023,"236,5",,1/17/2023,179,"201,6","3990,97","236,5"
1/16/2023,"178,15",,1/16/2023,"204,9",,1/12/2023,"3983,17",,1/16/2023,"236,6",,1/16/2023,"178,15","204,9","3999,09","236,6"
1/13/2023,"171,85",,1/13/2023,"198,75",,1/11/2023,"3969,61",,1/13/2023,"234,5",,1/13/2023,"171,85","198,75","3999,09","234,5"
1/12/2023,"168,2",,1/12/2023,"192,85",,1/10/2023,"3919,25",,1/12/2023,"231,4",,1/12/2023,"168,2","192,85","3983,17","231,4"
1/11/2023,"179,25",,1/11/2023,"198,8",,1/9/2023,"3892,09",,1/11/2023,"230,4",,1/11/2023,"179,25","198,8","3969,61","230,4"
1/10/2023,"171,4",,1/10/2023,"199,15",,1/6/2023,"3895,08",,1/10/2023,"228,5",,1/10/2023,"171,4","199,15","3919,25","228,5"
1/9/2023,"176,45",,1/9/2023,"199,4",,1/5/2023,"3808,1",,1/9/2023,"231,8",,1/9/2023,"176,45","199,4","3892,09","231,8"
1/6/2023,"170,9",,1/6/2023,192,,1/4/2023,"3852,97",,1/6/2023,"228,2",,1/6/2023,"170,9",192,"3895,08","228,2"
1/5/2023,"171,5",,1/5/2023,"199,5",,1/3/2023,"3824,14",,1/5/2023,"230,3",,1/5/2023,"171,5","199,5","3808,1","230,3"
1/4/2023,"171,05",,1/4/2023,"196,7",,12/30/2022,"3839,5",,1/4/2023,"226,6",,1/4/2023,"171,05","196,7","3852,97","226,6"
1/3/2023,"170,7",,1/3/2023,"197,6",,12/29/2022,"3849,28",,1/3/2023,"223,1",,1/3/2023,"170,7","197,6","3824,14","223,1"
1/2/2023,171,,1/2/2023,198,,12/28/2022,"3783,22",,12/30/2022,"219,3",,1/2/2023,171,198,"3839,5","219,3"
12/30/2022,"159,75",,12/30/2022,"192,55",,12/27/2022,"3829,25",,12/29/2022,"221,6",,12/30/2022,"159,75","192,55","3839,5","219,3"
12/29/2022,"160,35",,12/29/2022,"193,55",,12/23/2022,"3844,82",,12/28/2022,"217,2",,12/29/2022,"160,35","193,55","3849,28","221,6"
12/28/2022,"154,4",,12/28/2022,"189,65",,12/22/2022,"3822,39",,12/27/2022,"215,9",,12/28/2022,"154,4","189,65","3783,22","217,2"
12/27/2022,"151,75",,12/27/2022,"187,45",,12/21/2022,"3878,44",,12/23/2022,"216,6",,12/27/2022,"151,75","187,45","3829,25","215,9"
12/23/2022,"152,65",,12/23/2022,"187,1",,12/20/2022,"3821,62",,12/22/2022,"215,8",,12/23/2022,"152,65","187,1","3844,82","216,6"
12/22/2022,148,,12/22/2022,"184,55",,12/19/2022,"3817,66",,12/21/2022,"217,8",,12/22/2022,148,"184,55","3822,39","215,8"
12/21/2022,"147,75",,12/21/2022,"181,75",,12/16/2022,"3852,36",,12/20/2022,214,,12/21/2022,"147,75","181,75","3878,44","217,8"
12/20/2022,"147,2",,12/20/2022,"178,6",,12/15/2022,"3895,75",,12/19/2022,"216,2",,12/20/2022,"147,2","178,6","3821,62",214
12/19/2022,"150,15",,12/19/2022,"180,65",,12/14/2022,"3995,32",,12/16/2022,"219,1",,12/19/2022,"150,15","180,65","3817,66","216,2"
12/16/2022,"148,5",,12/16/2022,"181,3",,12/13/2022,"4019,65",,12/15/2022,"225,3",,12/16/2022,"148,5","181,3","3852,36","219,1"
12/15/2022,"160,7",,12/15/2022,"187,35",,12/12/2022,"3990,56",,12/14/2022,"238,2",,12/15/2022,"160,7","187,35","3895,75","225,3"
